≈≈√˚,Ω±¿¯ID
number,id
Rank,rewardid
,
1,50079
2,50080
3,50081
4,50082
5,50082
6,50082
7,50082
8,50082
9,50082
10,50082
11,50083
12,50083
13,50083
14,50083
15,50083
16,50083
17,50083
18,50083
19,50083
20,50083
21,50083
22,50083
23,50083
24,50083
25,50083
26,50083
27,50083
28,50083
29,50083
30,50083
31,50083
32,50083
33,50083
34,50083
35,50083
36,50083
37,50083
38,50083
39,50083
40,50083
41,50083
42,50083
43,50083
44,50083
45,50083
46,50083
47,50083
48,50083
49,50083
50,50083
51,50084
52,50084
53,50084
54,50084
55,50084
56,50084
57,50084
58,50084
59,50084
60,50084
61,50084
62,50084
63,50084
64,50084
65,50084
66,50084
67,50084
68,50084
69,50084
70,50084
71,50084
72,50084
73,50084
74,50084
75,50084
76,50084
77,50084
78,50084
79,50084
80,50084
81,50084
82,50084
83,50084
84,50084
85,50084
86,50084
87,50084
88,50084
89,50084
90,50084
91,50084
92,50084
93,50084
94,50084
95,50084
96,50084
97,50084
98,50084
99,50084
100,50084
101,50085
102,50085
103,50085
104,50085
105,50085
106,50085
107,50085
108,50085
109,50085
110,50085
111,50085
112,50085
113,50085
114,50085
115,50085
116,50085
117,50085
118,50085
119,50085
120,50085
121,50085
122,50085
123,50085
124,50085
125,50085
126,50085
127,50085
128,50085
129,50085
130,50085
131,50085
132,50085
133,50085
134,50085
135,50085
136,50085
137,50085
138,50085
139,50085
140,50085
141,50085
142,50085
143,50085
144,50085
145,50085
146,50085
147,50085
148,50085
149,50085
150,50085
151,50085
152,50085
153,50085
154,50085
155,50085
156,50085
157,50085
158,50085
159,50085
160,50085
161,50085
162,50085
163,50085
164,50085
165,50085
166,50085
167,50085
168,50085
169,50085
170,50085
171,50085
172,50085
173,50085
174,50085
175,50085
176,50085
177,50085
178,50085
179,50085
180,50085
181,50085
182,50085
183,50085
184,50085
185,50085
186,50085
187,50085
188,50085
189,50085
190,50085
191,50085
192,50085
193,50085
194,50085
195,50085
196,50085
197,50085
198,50085
199,50085
200,50085
201,50086
